Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
60.6798943530638,-137.615167816809,-105.41305824436,-26.9715636183378,90.0000002962066,150.679683925277
59.9828726860908,-136.844917726355,-107.457934238483,-25.6969370336707,89.9999993451327,149.982662077211
62.2785030354359,-135.247294385054,-111.850651598004,-22.9018431920602,89.99999976275,152.278292663894
60.8946384255447,-133.868810151787,-115.858081824625,-20.2728977552854,90.0000001514051,150.89442794239
55.7839007570049,-136.408951145308,-108.63471264668,-24.9561253697045,90.0000001056478,145.783689467728
53.4692422631758,-135.387864974972,-111.454594177037,-23.1573315221309,90.0000003189958,143.469031491883
51.303185523641,-136.72514670574,-107.779749307838,-25.4948937698943,90.0000001064688,141.302975021717
50.5736595079877,-136.548696569501,-108.255874153235,-25.1952183152134,89.9999998348408,140.573449090507
49.2056772324344,-135.458094178224,-111.257490477875,-23.284204731017,89.9999993173908,139.205466552467
51.1724641785275,-133.75580805816,-116.198078321422,-20.0459026446668,90.0000011894589,141.172254230076
50.1851768286974,-133.259595336694,-117.715928281876,-19.0242671233832,90.000000231003,140.184965924797
